#{"t_start": 1736966677.3145978, "env_id": "None"}
r,l,t
21.175683,151,1658.716576
18.99741,123,1660.212811
20.634869,137,1661.753291
24.742005,177,1663.336126
23.558821,163,1664.875618
25.97928,185,1666.467018
22.033481,148,1668.000277
25.2642,181,1670.505211
21.725785,171,1672.07575
27.349294,200,1673.667583
26.013636,186,1675.257627
23.128791,159,1676.809394
28.198121,209,1678.411674
27.007571,199,1680.013915
20.987908,140,1681.543873
25.600385,186,1683.123
24.765808,176,1684.709634
26.92627,197,1686.293806
18.472071,118,1688.756742
19.98362,130,1690.251383
20.990086,155,1691.807891
26.853076,197,1693.394736
25.973144,186,1694.986638
27.959102,209,1696.599504
25.467973,180,1698.181971
21.454459,145,1699.728935
19.780434,141,1701.273699
24.072149,170,1702.855992
27.019116,195,1704.446544
23.259717,160,1706.011456
20.099453,132,1707.563155
22.854762,164,1710.092065
18.206408,116,1711.585995
27.285226,199,1713.185084
20.646885,141,1714.709345
21.302486,146,1716.264665
26.801598,190,1717.857286
25.470771,184,1719.439057
19.992836,133,1720.952234
26.028048,190,1722.537879
24.798532,179,1724.11338
20.128182,131,1725.651903
27.740847,201,1727.250042
20.039407,131,1729.631466
21.027851,139,1731.168098
20.040686,132,1732.679828
18.836701,251,1734.334645
21.994592,148,1735.863961
18.352251,236,1737.48152
18.951418,246,1739.096176
27.294714,194,1740.705587
28.596363,210,1742.310989
19.573153,237,1743.954073
17.455216,225,1746.40183
23.485732,168,1747.921209
20.164963,134,1749.428322
23.5471,168,1750.983816
18.204902,118,1752.503858
22.884012,163,1754.046427
25.479895,178,1755.612491
21.129791,147,1757.149848
20.998974,141,1758.660177
20.650496,143,1760.206655
21.596781,144,1761.773226
23.091827,161,1763.325727
26.953635,197,1764.91546
26.95916,193,1767.364271
21.472188,146,1768.863887
24.265302,174,1770.424635
26.462538,192,1772.034266
21.004088,140,1773.540968
19.485329,234,1775.182863
26.623854,188,1776.758209
18.11474,235,1778.402007
24.492908,173,1779.944427
29.085203,212,1781.569689
23.181054,171,1783.14058
25.978292,188,1785.581837
23.536348,165,1787.115629
21.645504,147,1788.632035
21.006302,145,1790.163858
25.544498,183,1791.745197
19.29175,131,1793.251436
23.996339,176,1794.80665
24.264514,170,1796.370414
27.064045,193,1797.927879
19.262331,132,1799.468431
20.60076,143,1800.995429
27.905256,199,1802.594066
19.399845,128,1804.107725
20.103929,132,1806.516368
20.371291,134,1808.018764
24.086816,170,1809.585524
20.997521,159,1811.129339
24.806354,180,1812.714375
21.356817,150,1814.249497
23.762335,174,1815.809061
27.338086,198,1817.414026
26.877925,193,1819.00948
25.453678,183,1820.601587
25.483864,179,1822.144173
22.516175,157,1823.709966
18.965502,122,1825.240169
28.183578,202,1827.75177
18.922584,277,1829.410852
21.029288,146,1830.949772
19.245791,237,1832.583848
18.002114,115,1834.102191
26.376522,192,1835.696533
28.689487,209,1837.307675
25.948321,184,1838.8801
20.246675,290,1840.574312
22.529691,153,1842.140856
22.439615,163,1844.625059
19.408944,131,1846.143019
21.715601,165,1847.716455
23.940217,172,1849.289589
19.465904,243,1850.906021
26.191068,185,1852.480063
24.110039,171,1854.037193
24.744564,178,1855.621586
19.705257,130,1857.148337
18.299543,313,1858.87408
22.320495,149,1860.413917
22.00698,148,1862.822443
23.724762,166,1864.367702
27.205064,195,1865.932534
25.625805,182,1867.501016
21.143622,141,1868.989564
20.164464,134,1870.52011
26.700878,192,1872.112794
