#{"t_start": 1737020819.9345298, "env_id": "None"}
r,l,t
3.189517,84,781.358794
2.935701,79,782.506768
3.249228,84,783.681881
3.225396,84,784.809455
3.005441,79,785.963396
2.572076,78,787.204343
2.712559,81,788.344892
2.974741,79,789.523353
2.956453,91,790.684652
2.352961,88,791.890389
3.294975,88,793.033309
2.921622,78,794.242226
3.084046,83,795.405937
3.189996,80,796.548681
2.92414,78,797.681456
69.295814,1830,802.30542
47.430242,864,805.016083
40.543235,769,807.564888
9.612759,164,808.951289
3.204336,84,810.095822
2.929451,79,811.245814
3.284411,83,812.371567
3.042501,80,813.498341
3.089099,84,814.662613
2.637902,79,815.944574
2.93846,80,817.124767
2.874983,80,818.27978
2.981497,81,819.485581
2.838128,82,820.629273
2.932159,93,821.83879
2.920817,83,823.026028
3.024453,83,824.161583
2.73615,78,825.310619
2.68688,78,826.427016
3.063911,81,827.603521
3.942217,108,828.821705
3.154153,83,829.97582
3.129309,83,831.108107
3.038329,82,832.237507
3.360742,84,833.398441
4.694449,143,834.676648
4.052057,113,835.861879
2.805447,85,837.027419
47.640604,907,839.848015
73.64629,1150,843.236956
3.53214,89,844.390392
3.070362,83,845.577174
3.05845,81,846.69979
3.657651,93,847.843508
16.054018,267,849.348314
3.003408,84,850.563078
229.020653,3516,858.729935
3.634624,87,859.876018
119.940196,1935,864.872217
3.134397,80,865.986943
3.295279,86,867.130043
2.970669,80,868.249582
81.241114,1182,871.645215
7.721168,138,872.877064
49.626292,1007,875.901483
22.021212,177,877.248983
2.781413,79,878.382509
3.411006,86,879.514253
63.520055,763,882.096094
45.909668,788,884.643
2.866957,76,885.763663
5.037592,116,886.976308
3.810276,104,888.214358
3.000012,82,889.388672
2.960094,78,890.514649
3.05375,79,891.633752
3.452399,82,892.748356
2.767623,80,893.893492
3.499692,88,895.066162
79.422074,1525,899.133827
2.709168,77,900.421896
3.011466,86,901.546329
4.304837,99,902.696339
2.733609,78,903.822658
2.898826,77,904.943753
3.317791,87,906.117863
2.786868,77,907.230365
2.878768,78,908.415016
2.747879,76,909.593706
2.965574,77,910.807498
3.011683,82,911.991211
3.180664,82,913.181696
2.708391,80,914.305837
3.064068,81,915.530054
3.284265,83,916.691402
3.093576,80,917.829249
3.497985,140,919.13763
3.150239,82,920.283843
3.578357,108,921.507513
3.069827,77,922.661842
4.178044,101,923.822139
3.274356,81,924.962574
3.229664,114,926.155142
3.136541,85,927.318528
3.569125,88,928.454631
5.89387,135,929.717727
3.701046,91,930.853082
3.066956,80,931.967352
3.416465,88,933.107994
213.681482,3056,940.45266
5.295375,143,941.769284
6.71803,130,943.046426
4.489019,102,944.24198
3.355647,83,945.365847
58.64615,1199,948.702419
6.042456,144,949.977841
33.331136,334,951.617894
9.198025,168,953.004357
3.71885,88,954.138009
5.934724,120,955.372041
3.619586,87,956.594063
6.769564,125,957.806342
4.35427,96,958.967933
7.339207,135,960.226887
33.074568,586,962.441716
12.516774,182,963.808186
7.981666,163,965.202602
8.464408,146,966.495614
8.831826,149,967.820374
7.831115,184,969.184917
10.800085,172,970.496777
5.755116,128,971.756021
8.171821,136,973.012415
20.388214,152,974.271547
8.053272,164,975.783157
5.828642,112,976.992844
4.120949,92,978.141336
3.711444,93,979.311059
138.434024,1964,984.439936
118.950736,17055,1020.908545
5.235411,112,1022.153172
11.552186,221,1023.647801
13.649203,250,1025.149935
44.153065,707,1027.562539
3.675963,89,1028.763294
47.399783,528,1030.809648
4.223353,98,1032.003763
29.744525,466,1033.905281
5.016846,106,1035.219414
5.888758,120,1036.408602
103.744254,1526,1040.595129
6.571459,139,1041.917381
3.91783,97,1043.100477
6.088074,122,1044.398955
5.610483,114,1045.657812
4.281884,95,1046.986806
3.911893,98,1048.248793
11.07232,174,1049.610045
